Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target_encoded
1,1,2,9991,0,12,147,1,19,19,6,4,125.2,0,0,1,0,1,0,27,0,0,3,7,7,14.06,3,3,8,10,4,11.75,4,13.9,-0.8,1.79,2
5,44,2,9254,0,39,131,1,1,19,3,1,127.9,0,0,0,1,0,1,26,0,5,7,6,4,12.933333333333332,0,2,2,11,0,11.75,0,11.1,3.7,-0.92,2
1,44,2,9130,1,39,147,1,19,38,8,1,128.4,1,0,1,0,1,0,23,0,5,7,0,5,11.8,0,0,7,5,4,13.716666666666669,0,12.7,0.3,3.51,1
5,43,1,9853,0,3,150,1,4,1,9,4,129.9,0,0,1,0,1,0,27,0,0,7,13,6,14.06,1,2,8,10,4,11.75,0,9.4,-0.8,-4.06,2
5,1,1,9070,1,1,133.1,1,1,39,6,4,127.7,1,0,0,0,1,0,24,0,3,6,7,7,12.666666666666666,0,0,8,0,8,12.5,4,9.4,0.6,2.02,2
1,1,1,9556,0,3,130,1,1,19,1,3,126.7,0,0,0,1,0,0,52,0,5,7,13,7,13.285714285714286,1,2,8,8,6,12.8,0,10.8,2.6,0.32,1
5,7,4,9003,1,39,127,1,3,19,2,6,125.4,1,0,0,1,0,0,27,0,3,7,9,7,13.285714285714286,0,0,5,7,0,15,4,15.5,0.6,-1.7,0
1,7,2,9556,1,1,130,1,37,3,8,9,133.2,0,0,1,1,1,1,23,0,3,3,7,5,13,3,3,2,6,7,12.142857142857142,4,13.9,3.7,3.51,0
1,1,4,9500,1,12,123,1,4,39,7,10,127.8,1,0,0,0,0,1,27,0,5,3,17,4,12.933333333333332,0,0,4,10,2,15.622222222222222,4,12.4,0.6,-0.92,2
1,43,2,9254,0,39,127,1,3,1,3,10,121.9,1,0,1,1,1,1,28,0,0,3,17,3,12.666666666666666,3,2,5,8,7,12.142857142857142,4,13.9,-0.8,-0.92,1
5,17,2,9500,1,39,114,1,37,3,8,6,126.4,0,0,0,1,0,0,19,0,5,7,12,6,14.06,0,3,4,0,7,0,4,11.1,2.8,0.79,2
1,44,2,9556,1,3,131,1,1,1,5,6,128.1,1,0,0,1,0,0,26,0,3,6,12,5,11.8,0,0,2,19,0,13,0,16.2,0.5,3.51,2
1,18,4,9500,0,12,100,1,19,37,3,6,124,1,0,0,1,1,1,23,0,3,8,13,6,12.666666666666666,1,0,6,5,7,11.75,4,10.8,0.6,1.74,0
5,39,2,9130,1,3,142,1,37,39,6,7,123.2,0,0,1,1,0,0,52,0,5,7,11,7,0,3,0,5,19,7,0,0,7.6,0.3,1.79,2
5,44,2,8014,0,12,147,1,3,19,8,7,129.2,1,0,0,0,1,1,27,0,0,3,3,1,14.06,3,3,6,9,7,12.571428571428571,4,12.7,0.5,-1.7,0
1,17,1,9773,0,39,142,1,37,38,9,3,129,0,0,1,1,1,0,28,0,5,7,13,6,12.714285714285714,3,2,5,0,0,12.571428571428571,4,9.4,0.3,0.79,2
5,44,1,9085,1,3,130,1,1,19,7,7,127.5,1,0,1,0,0,0,27,0,3,3,12,5,11.8,3,2,2,9,6,13,4,7.6,1.4,-0.92,2
5,1,2,9130,0,12,132,1,3,39,1,3,123.5,1,0,1,0,0,1,52,0,0,3,7,5,12.933333333333332,0,0,2,5,0,15,4,12.7,0.5,1.79,1
5,7,1,9254,0,39,131,1,1,37,1,10,132.3,1,0,1,0,1,1,21,0,3,3,7,6,12.545714285714286,3,0,2,10,4,12.142857142857142,0,12.4,2.6,-0.92,1
1,1,4,9670,1,1,123,1,3,37,3,7,127.7,1,0,1,0,0,1,19,0,0,6,3,7,13,0,3,7,6,8,12.428571428571429,0,13.9,0.3,0.79,1
5,18,1,8014,1,3,133.1,1,1,3,3,1,122.8,0,0,1,1,0,1,26,0,5,5,6,7,12.333333333333334,0,3,4,11,8,11.875,4,7.6,0.5,-3.12,1
5,18,4,9254,0,12,127,1,37,1,1,3,125.2,1,0,0,0,0,0,41,0,5,3,11,7,12.933333333333332,1,3,4,6,6,13.716666666666669,0,7.6,-0.3,0.32,2
5,17,1,9556,0,39,130,1,4,3,5,6,122.8,0,0,1,1,1,0,21,0,5,3,6,1,13,3,2,7,8,2,11.75,4,11.1,1.4,-1.7,0
1,39,2,9003,1,1,140,1,19,38,9,5,124.7,1,0,0,0,0,1,26,0,0,6,9,6,13,0,2,6,9,2,12.142857142857142,4,7.6,2.6,1.79,2
5,18,2,9991,0,1,140,1,1,3,5,9,127.4,1,0,1,0,0,0,26,0,5,6,12,1,12.545714285714286,0,0,6,7,0,13,4,7.6,0.3,3.51,0
1,39,1,8014,0,3,137,1,4,1,7,1,127.3,1,0,0,0,1,0,23,0,3,3,3,0,14.06,1,0,8,11,7,13.716666666666669,4,16.2,-0.3,-4.06,2
1,44,2,9130,1,12,130,1,37,19,9,9,120,1,0,0,0,1,0,19,0,3,6,7,3,12.545714285714286,0,2,7,0,4,13,4,9.4,0.3,-3.12,2
1,17,4,9254,0,12,100,1,19,38,7,7,126.1,1,0,1,1,0,1,21,0,3,7,12,0,11.8,0,3,7,9,8,11.875,4,12.7,2.8,-0.92,0
1,1,4,8014,0,1,132,1,1,19,1,7,128.5,1,0,0,0,0,0,23,0,3,6,12,1,12.666666666666666,1,0,7,0,2,15.622222222222222,0,7.6,-0.8,1.79,1
5,18,4,9254,1,12,137,1,1,3,3,3,124.3,0,0,1,0,0,1,24,0,5,5,10,6,0,0,0,2,7,6,15,4,13.9,-0.8,-4.06,0
5,1,2,9070,1,39,147,1,4,38,2,3,124.2,0,0,1,0,0,1,41,0,3,5,3,6,14.06,3,0,6,0,7,11,4,15.5,2.6,1.79,0
5,17,2,9773,0,1,137,1,19,19,2,4,127.1,0,0,1,1,0,0,52,0,3,8,9,3,13.6875,0,2,7,2,0,14.428571428571429,0,9.4,1.4,-0.92,2
5,18,1,9254,1,39,140,1,19,37,3,10,123.2,0,0,1,1,1,0,27,0,0,8,0,6,14.06,3,0,5,0,7,12.8,0,9.4,3.7,-4.06,0
5,43,2,9991,0,3,130,1,3,38,8,6,128.2,0,0,1,1,1,0,28,0,5,7,9,0,11.8,1,3,4,9,6,12.8,0,11.1,1.4,-4.06,2
5,1,1,9130,1,1,100,1,1,37,6,3,120.2,0,0,0,0,0,1,52,0,5,6,8,3,13.6875,1,3,7,2,0,0,4,12.7,2.6,3.51,1
1,18,1,9085,1,3,137,1,1,39,7,4,125.3,1,0,1,1,1,0,24,0,5,7,6,6,12.666666666666666,3,2,7,11,4,14.428571428571429,4,11.1,2.6,0.32,1
5,7,2,9853,0,1,123,1,4,37,6,4,126.4,1,0,1,1,0,1,26,0,3,3,8,4,13.285714285714286,3,3,7,7,7,12.545714285714286,4,13.9,-0.8,0.79,1
5,39,2,9130,0,39,132,1,1,1,9,6,128.5,0,0,1,1,0,1,52,0,3,6,9,0,0,1,3,6,9,2,12.5,4,12.7,0.6,1.74,2
5,39,1,9556,0,12,132,1,19,3,7,4,129.5,1,0,0,1,0,0,26,0,0,3,13,7,13.285714285714286,3,2,2,11,2,11,4,12.4,0.3,2.02,2
1,18,1,9556,1,39,150,1,1,38,7,4,129.8,0,0,0,1,0,1,21,0,3,7,3,1,14.428571428571429,0,0,7,9,2,13,0,10.8,3.7,1.74,0
1,44,2,9003,0,39,140,1,3,37,9,10,128.2,1,0,0,1,1,1,21,0,0,8,6,7,14.428571428571429,3,3,5,9,7,12.8,0,9.4,0.6,1.74,2
1,43,2,9853,1,12,131,1,19,39,8,4,129,1,0,0,1,0,1,23,0,5,6,3,6,12.714285714285714,1,3,5,0,7,13,0,10.8,0.6,-4.06,2
1,39,2,9500,0,39,127,1,4,3,9,1,121,0,0,0,0,0,0,26,0,0,7,0,6,11.8,0,2,8,11,6,11.75,0,12.4,2.6,0.32,2
1,39,2,9500,0,1,133.1,1,37,3,7,7,125.4,0,0,1,1,1,0,27,0,0,7,17,4,14.666666666666666,3,2,8,0,8,12.428571428571429,4,8.9,-0.8,-4.06,2
