Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target_encoded
1,39,4,171,1,1,121.37508557019356,1,1,1,2,7,133.8544807527437,1,0,1,0,0,0,22.042274752051643,0,0,6,17.197102547175476,6,10.988811380284963,0,0,5,9.086470504176988,4,10.668066399145681,0,9.4,2.6,-1.7,0
1,17,1,9500,1,1,145.4611017444402,1,19,38,9,7,123.15770927151696,0,0,0,1,0,0,32.63186863621901,0,0,7,10.460236795061924,5,6.4964536386272504,0,0,5,-0.7594166737134698,4,13.528851629842938,0,15.5,2.6,-1.7,2
1,17,2,8014,1,1,160.09979876110825,1,3,1,9,9,126.22039908357873,1,0,0,1,0,1,35.59384111876323,0,0,5,7.627696272327309,3,9.394766962101123,0,0,6,5.251306412989649,2,6.222461860477888,0,12.7,2.8,0.32,0
1,1,1,9238,1,1,136.03748070901509,1,1,1,9,5,125.29298163622498,0,0,0,1,1,0,11.24038411710763,0,0,8,14.785720421377064,5,15.084914626607187,0,0,6,6.243713453698879,3,8.355266284326026,0,12.4,2.6,0.32,0
1,43,2,9238,1,12,148.7978323114417,1,34,37,9,3,137.23765393487488,0,0,0,1,1,0,25.37608782330266,0,0,5,1.8888474141276141,6,11.835487917516328,0,0,6,8.526784506927267,0,20.768814478335475,2,13.9,3.7,-3.12,1
1,17,1,9070,1,1,135.77582288876576,1,1,37,4,9,139.54494576816163,1,0,0,1,0,1,26.717006766095253,0,4,6,9.099137377297827,3,12.876345860779155,0,0,7,7.5253835925757935,7,14.47379494814899,0,13.9,-0.3,0.79,0
1,1,2,9147,1,1,150.69586954826937,1,1,1,4,3,113.23920850441979,1,0,1,1,1,1,9.3452213764486,0,0,5,5.26383208884212,7,6.641072051002973,0,5,6,9.688634448638417,6,6.041041722299829,0,13.9,1.4,1.79,0
4,17,1,9070,1,1,132.86036700586632,1,19,19,9,6,121.19540053910802,0,0,0,1,0,1,24.194516344867523,0,0,8,13.921334785052851,0,12.970955556001432,0,0,6,12.278114599781176,6,10.517711322701194,0,10.8,-0.8,-0.92,2
1,17,1,9670,1,3,121.46765480267153,1,3,37,9,3,143.68127017424385,1,0,0,1,0,0,21.585451785676675,0,0,6,7.535169013279135,7,11.585251678433997,0,0,6,9.430372628631536,3,12.835269171372593,0,12.4,-0.3,1.74,0
1,18,2,9556,1,1,136.95202201777644,1,37,1,9,2,141.92215581098583,1,0,0,1,0,1,15.48626239480359,0,0,6,6.008007682539691,6,2.192185296162666,0,0,5,5.762760750334024,5,21.688233608256546,0,10.8,2.6,-3.12,2
